,id,average_speed,average_angle,average_acceleration,dist_traveled,max_dist,dist_to_line,direction_changes,max_dist_start,triangle_area
3405,3405,6.4088336473837915,25.4368743872348,0.15618306100950705,35994.73944224502,55.23909820802435,1264.3925024702878,21,167.9089425010177,160981651.61973628
3406,3406,7.99017532151085,26.79796393553414,-0.02070829171013044,46144.155813164405,58.2616754018654,647.4313312248858,20,246.12020341339345,82218290.27108221
3407,3407,6.569225059934604,51.40324657045425,-0.055033379323642,36171.84668443243,81.96448094389994,442.77380521830815,18,221.8803053523228,88726144.767333
3408,3408,6.848486633613003,-0.08772909293491303,0.025102252412491206,36220.768872672685,56.43094003330659,737.8800547555458,15,168.7857266395771,72363282.48192197
3409,3409,5.600622672152527,-32.31225993809575,-0.06034946444241751,33489.56020742122,67.18051965320936,943.8159979502425,19,85.3612119944415,60264693.467105806
3410,3410,6.7085259079018575,18.232265331717585,0.09809354493141176,34170.63307198243,63.2831809118139,925.8005527519877,18,74.76127707951497,77919416.89065732
3411,3411,6.806292100936075,-5.238752426377286,-0.1377055278299997,35208.89296980924,55.154669563152424,837.2765963493316,16,160.661370613007,112456647.83047372
3412,3412,5.242919659647529,1.2661173488211206,0.14648201364336738,31666.077606905623,74.16701167204495,1246.5548773007063,23,90.6575324193198,55658789.11218883
3413,3413,6.588732869969922,-1.7193849338137897,-0.11543999266522345,39633.397267420696,122.74619070996529,1056.1520197680577,26,101.55727309400378,80849647.48441231
3414,3414,6.5579129205636635,-6.694622391301139,0.15164446193296863,37144.76154298657,82.15902252169366,1576.9411906232067,21,126.1107714203668,81001396.90057954
3415,3415,7.630071417222346,-28.71632906939786,-0.04840307248923623,47873.337023418426,92.33439086565953,619.3374524732913,23,164.16243638555056,89342377.33327246
3416,3416,5.206748589645941,-26.62285387073665,0.07610264594708602,29578.6642163985,169.63377685957153,1072.3435742488225,20,129.4485121747253,88001024.97115164
3417,3417,4.073894895849537,4.751024672394766,-0.009720139891027189,25551.262770781734,70.78990237909674,184.3869486668592,24,42.10911451942438,45412794.16583786
3418,3418,4.230537589241098,23.84458316460544,0.04153090745773441,25218.4262480435,31.975673662443672,337.863594955421,20,106.56219477492947,63133663.88598544
3419,3419,3.2370898668039287,7.652157588144432,-0.0518087330540657,19917.39707630161,29.076310054411405,721.5995778491763,24,58.58705279573287,36615473.06123292
3420,3420,3.243193353489569,12.997509920882097,-0.055382564727329026,17865.82272650381,28.575823515846135,220.56678615183927,22,82.35974248751637,41424555.48334974
3421,3421,3.1820158312348616,5.4652058849083645,0.08740497691335232,16906.188551917647,29.11385064349954,257.97038643665684,20,83.03633222036002,43848911.11354531
3422,3422,5.490126963976332,-1.4447880776788273,0.025405863720726566,33393.67244001777,62.54950204201247,463.7030403763885,25,122.86770089506854,56451751.24044739
3423,3423,6.204072687375678,42.547670256201286,0.06099492108960777,40846.914387876845,58.822542967832604,770.5523167024771,23,150.32330535828433,86473896.10295652
3424,3424,5.9273760555114,30.507211411429612,-0.008087218870695556,37276.76339641649,39.53275055611354,461.1132640258946,23,129.19602666292957,76940398.51448159
3425,3425,5.65052286463649,-16.97405784126484,0.14535943263026366,36111.547149897655,66.41515844240709,1073.2460996175084,22,113.89183024556058,86668700.07672082
3426,3426,6.289790239019027,35.99107453346517,-0.04673778077759851,37307.80951886923,67.0581809177058,483.03129677350523,27,174.04560784429444,66905792.29643261
3427,3427,5.51560498575956,-23.192643674377333,0.042409657524732636,28456.005179324457,39.8208875872257,265.48282880599794,19,209.04402974780822,100882188.65529637
3428,3428,6.976746937410354,-36.063635213961504,0.01677300452615197,42099.52338348439,67.06190751386899,767.3157945014522,21,169.84177525991652,131492344.18195584
3429,3429,8.30810026706106,-38.412881611774054,0.01996107273711326,46270.425729993614,80.52690883420493,1054.6040380120123,25,266.5775513121086,106775945.0637772
3430,3430,8.87023053948027,17.0764608036801,0.053806750846966164,48041.35033576599,126.59722303898361,835.7086541516836,31,328.17676803705933,92552787.19735853
3431,3431,6.88655949296148,83.72699966741753,-0.12693922504648802,41355.427601886644,83.21750388841487,741.9367286368921,22,284.7687245050798,148792724.69721428
3432,3432,7.441262723560947,-15.315097479591161,0.08918761831875262,45443.30955485436,77.7322793473459,1657.2435337637753,16,195.84351024552785,132702914.1276033
3433,3433,7.7120647182956406,-72.79163295592426,0.04609896087364797,45441.973072172084,69.56290143077793,865.9322719733093,11,307.6858259259591,120550352.52397697
3434,3434,6.679579134416589,-52.86743028344995,-0.016239281711212757,37338.69626061988,56.787965792262966,1010.5039271461552,14,220.06364100377883,72253167.91520299
3435,3435,8.92346745694616,-33.84729097055651,0.085611905422361,51894.94842366456,84.34106742266768,531.6763819943969,30,425.6041509680675,65714202.984070964
3436,3436,8.693810505480304,3.1644517852371123,0.07701201055750569,40155.66544095931,73.26945399338396,1503.8568929962057,28,212.7443905930543,205234960.20447353
3437,3437,8.787898355622623,-20.87674503037092,0.09802303430167274,49893.61633301308,67.04847781018722,517.6031127827019,19,270.186806753328,108478560.03479874
3438,3438,8.266580758874563,40.854451706184946,-0.07872560590038936,43554.61084436558,73.88149360813196,1386.3731324438688,14,189.35845000907662,182660753.14968786
3439,3439,6.033145256795904,-5.663646066367313,0.10639029692201607,32361.308154378243,93.11512052292093,288.82523931293673,33,51.76239554242066,42501431.02193313
3440,3440,8.587235293482259,10.232202418224784,-0.017960679455537903,46177.341191491636,128.33708294964447,732.0509891378712,40,55.99851508075905,69154585.54658297
3441,3441,7.631748137517034,11.329324082280587,0.023089358524968007,45829.979877287864,148.2235023789165,1007.6231302345134,25,96.60229409801818,89395487.40214622
3442,3442,5.736371355293222,-22.098471397935082,0.009459959583185504,22993.552112745198,66.29381376595089,604.8951535724009,14,45.645898797153784,76342335.23405994
3443,3443,6.27457904901886,26.490782390791004,-0.006349976926894571,35275.348861685925,40.25408377118948,644.3263730656279,13,153.49684649281903,101688612.0564433
3444,3444,6.687132605029232,-52.08740916139701,-0.009650978186128902,38241.10277312716,52.61301279886385,1217.282700043648,15,198.5308124560015,141993855.43530318
3445,3445,6.25042542706221,21.68222598075555,-0.02862636543694574,35998.77292298082,56.43537334895357,525.2668589919471,18,158.07426638213445,72435715.81485537
3446,3446,5.602109104017926,21.733868350104125,0.020246521315698443,31839.087881316314,37.91905779078376,989.332176626729,18,132.97778915082026,79837780.61450727
